Id,No_REG,event_date,Y,Season,Y-M,cod_mun,Dep,Prov,Mun,Comun,N_comun,p_afect,f_afect,Hec_agr,N_cattle,days,POBLACION,MacroRegID,MacroReg
"1003",2004-00378,23/03/2004,"2004",MAM,mar-04,"31101",Cochabamba,Tapacari,Tapacari,Tapacari,"1","0","0",0,0,NaN,24625,"2",Valles
"1005",2004-00381,23/03/2004,"2004",MAM,mar-04,"20301",La Paz,Pacajes,Coro Coro,Bajo Laura,"1","225","45",0,0,NaN,10647,"7",Altiplano
"1006",2004-00382,23/03/2004,"2004",MAM,mar-04,"20301",La Paz,Pacajes,Coro Coro,Alto Putuni,"1","250","50",0,0,NaN,10647,"7",Altiplano
"1007",2004-00383,23/03/2004,"2004",MAM,mar-04,"20301",La Paz,Pacajes,Coro Coro,Condoroca,"1","400","80",0,0,NaN,10647,"7",Altiplano
"1008",2004-00384,23/03/2004,"2004",MAM,mar-04,"20301",La Paz,Pacajes,Coro Coro,"Alto Laura,","1","200","40",0,0,NaN,10647,"7",Altiplano
"1013",2004-00389,24/03/2004,"2004",MAM,mar-04,"10101",Chuquisaca,Oropeza,Sucre,Quiquijama,"1","495","99",0,0,NaN,261201,"2",Valles
"1016",2004-00392,25/03/2004,"2004",MAM,mar-04,"31501",Cochabamba,Bolivar,Bolivar,Cotaña y Tangaleque,"2","235","47",0,0,NaN,7279,"7",Altiplano
"1020",2004-00396,25/03/2004,"2004",MAM,mar-04,"30602",Cochabamba,Arque,Tacopaya,Micayani Grande,"1","225","45",0,0,NaN,10253,"7",Altiplano
"1023",2004-00399,26/03/2004,"2004",MAM,mar-04,"70105",Santa Cruz,Andres Ibañez,El Torno,"Lagunillas, Sind. Agr. Betanzos, Paso del Chivo, Sind. Agr. 2 de Mayo, Cañada II, Distrito III, Sub Central 18 de Julio y Distrito III sub central ""18 de Julio""","6","3090","618",0,0,NaN,49652,"4",Chiquitania
"1024",2004-00400,27/03/2004,"2004",MAM,mar-04,"20304",La Paz,Pacajes,Comanche,Pairumani Chico,"1","320","64",0,0,NaN,3880,"7",Altiplano
"1039",2004-00415,31/03/2004,"2004",MAM,mar-04,"11003",Chuquisaca,Luis Calvo,Machareti,Camatindi,"1","600","120",0,0,NaN,7418,"5",Chaco
