Data;Thermometer
01/03/20 11:11;7.8
01/03/20 11:12;7.7
01/03/20 11:13;7.7
01/03/20 11:14;7.7
01/03/20 11:15;7.7
01/03/20 11:16;7.6
01/03/20 11:17;7.7
01/03/20 11:18;7.7
01/03/20 11:19;7.7
01/03/20 11:20;7.6
01/03/20 11:21;7.6
01/03/20 11:22;7.6
01/03/20 11:23;7.6
01/03/20 11:24;7.7
01/03/20 11:25;7.6
01/03/20 11:26;7.6
01/03/20 11:27;7.6
01/03/20 11:28;7.6
01/03/20 11:29;7.6
01/03/20 11:30;7.6
01/03/20 11:31;7.7
01/03/20 11:32;7.7
01/03/20 11:33;7.7
01/03/20 11:34;7.7
01/03/20 11:35;7.7
01/03/20 11:36;7.7
01/03/20 11:37;7.6
01/03/20 11:38;7.7
01/03/20 11:39;7.7
01/03/20 11:40;7.7
01/03/20 11:41;7.7
01/03/20 11:42;7.7
01/03/20 11:43;7.7
01/03/20 11:44;7.7
01/03/20 11:45;7.7
01/03/20 11:46;7.7
01/03/20 11:47;7.7
01/03/20 11:48;7.7
01/03/20 11:49;7.7
01/03/20 11:50;7.7
01/03/20 11:51;7.7
01/03/20 11:52;7.7
01/03/20 11:53;7.8
01/03/20 11:54;7.8
01/03/20 11:55;7.7
01/03/20 11:56;7.7
01/03/20 11:57;7.7
01/03/20 11:58;7.7
01/03/20 11:59;7.7
01/03/20 12:00;7.6
01/03/20 12:01;7.7
01/03/20 12:02;7.7
01/03/20 12:03;7.7
01/03/20 12:04;7.7
01/03/20 12:05;7.7
01/03/20 12:06;7.7
01/03/20 12:07;7.7
01/03/20 12:08;7.8
01/03/20 12:09;7.8
01/03/20 12:10;7.9
01/03/20 12:11;7.9
01/03/20 12:12;7.9
01/03/20 12:13;8
01/03/20 12:14;8
01/03/20 12:15;8
01/03/20 12:16;8
01/03/20 12:17;8
01/03/20 12:18;8
01/03/20 12:19;8
01/03/20 12:20;8
01/03/20 12:21;8
01/03/20 12:22;8.1
01/03/20 12:23;8.1
01/03/20 12:24;8.1
01/03/20 12:25;8.1
01/03/20 12:26;8.1
01/03/20 12:27;8.1
01/03/20 12:28;8.1
01/03/20 12:29;8.2
01/03/20 12:30;8.4
01/03/20 12:31;8.4
01/03/20 12:32;8.3
01/03/20 12:33;8.3
01/03/20 12:34;8.3
01/03/20 12:35;8.2
01/03/20 12:36;8.2
01/03/20 12:37;8.2
01/03/20 12:38;8.1
01/03/20 12:39;8.1
01/03/20 12:40;8.2
01/03/20 12:41;8.3
01/03/20 12:42;8.4
01/03/20 12:43;8.4
01/03/20 12:44;8.3
01/03/20 12:45;8.3
01/03/20 12:46;8.2
01/03/20 12:47;8.2
01/03/20 12:48;8.3
01/03/20 12:49;8.3
01/03/20 12:50;8.4
01/03/20 12:51;8.6
01/03/20 12:52;8.6
01/03/20 12:53;8.7
01/03/20 12:54;8.7
01/03/20 12:55;8.7
01/03/20 12:56;9
01/03/20 12:57;9.5
01/03/20 12:58;9.8
01/03/20 12:59;10
01/03/20 13:00;10.1
01/03/20 13:01;10.1
01/03/20 13:02;10.6
01/03/20 13:03;11.1
01/03/20 13:04;11
01/03/20 13:05;11.1
01/03/20 13:06;11.3
01/03/20 13:07;11.3
01/03/20 13:08;11.5
01/03/20 13:09;11.4
01/03/20 13:10;11.3
01/03/20 13:11;11.6
01/03/20 13:12;11.9
01/03/20 13:13;12
01/03/20 13:14;12.1
01/03/20 13:15;11.8
01/03/20 13:16;11.2
01/03/20 13:17;10.9
01/03/20 13:18;10.6
01/03/20 13:19;10.7
01/03/20 13:20;10.6
01/03/20 13:21;10.6
01/03/20 13:22;10.7
01/03/20 13:23;10.5
01/03/20 13:24;10.4
01/03/20 13:25;10.4
01/03/20 13:26;10.4
